2026-02-25 18:59:21 status installed libmodule-find-perl:all 0.17-1
2026-02-25 18:59:21 configure tini:arm64 0.19.0-3+b5 <none>
2026-02-25 18:59:21 status unpacked tini:arm64 0.19.0-3+b5
2026-02-25 18:59:21 status half-configured tini:arm64 0.19.0-3+b5
2026-02-25 18:59:21 status installed tini:arm64 0.19.0-3+b5
2026-02-25 18:59:21 configure libproc-processtable-perl:arm64 0.636-1+b3 <none>
2026-02-25 18:59:21 status unpacked libproc-processtable-perl:arm64 0.636-1+b3
2026-02-25 18:59:21 status half-configured libproc-processtable-perl:arm64 0.636-1+b3
2026-02-25 18:59:21 status installed libproc-processtable-perl:arm64 0.636-1+b3
2026-02-25 18:59:21 configure criu:arm64 4.1.1-1 <none>
2026-02-25 18:59:21 status unpacked criu:arm64 4.1.1-1
2026-02-25 18:59:21 status half-configured criu:arm64 4.1.1-1
2026-02-25 18:59:21 status installed criu:arm64 4.1.1-1
2026-02-25 18:59:21 configure libintl-perl:all 1.35-1 <none>
2026-02-25 18:59:21 status unpacked libintl-perl:all 1.35-1
2026-02-25 18:59:21 status half-configured libintl-perl:all 1.35-1
2026-02-25 18:59:21 status installed libintl-perl:all 1.35-1
2026-02-25 18:59:21 configure libterm-readkey-perl:arm64 2.38-2+b4 <none>
2026-02-25 18:59:21 status unpacked libterm-readkey-perl:arm64 2.38-2+b4
2026-02-25 18:59:21 status half-configured libterm-readkey-perl:arm64 2.38-2+b4
2026-02-25 18:59:21 status installed libterm-readkey-perl:arm64 2.38-2+b4
2026-02-25 18:59:21 configure python3-protobuf:arm64 3.21.12-11 <none>
2026-02-25 18:59:21 status unpacked python3-protobuf:arm64 3.21.12-11
2026-02-25 18:59:21 status half-configured python3-protobuf:arm64 3.21.12-11
2026-02-25 18:59:22 status installed python3-protobuf:arm64 3.21.12-11
2026-02-25 18:59:22 configure containerd:arm64 1.7.24~ds1-6+deb13u1 <none>
2026-02-25 18:59:22 status unpacked containerd:arm64 1.7.24~ds1-6+deb13u1
2026-02-25 18:59:22 status half-configured containerd:arm64 1.7.24~ds1-6+deb13u1
2026-02-25 18:59:23 status installed containerd:arm64 1.7.24~ds1-6+deb13u1
2026-02-25 18:59:23 configure docker-buildx:arm64 0.13.1+ds1-3 <none>
2026-02-25 18:59:23 status unpacked docker-buildx:arm64 0.13.1+ds1-3
2026-02-25 18:59:23 status half-configured docker-buildx:arm64 0.13.1+ds1-3
2026-02-25 18:59:23 status installed docker-buildx:arm64 0.13.1+ds1-3
2026-02-25 18:59:23 configure libsort-naturally-perl:all 1.03-4 <none>
2026-02-25 18:59:23 status unpacked libsort-naturally-perl:all 1.03-4
2026-02-25 18:59:23 status half-configured libsort-naturally-perl:all 1.03-4
2026-02-25 18:59:23 status installed libsort-naturally-perl:all 1.03-4
2026-02-25 18:59:23 configure needrestart:all 3.11-1 <none>
2026-02-25 18:59:23 status unpacked needrestart:all 3.11-1
2026-02-25 18:59:24 status half-configured needrestart:all 3.11-1
2026-02-25 18:59:24 status installed needrestart:all 3.11-1
2026-02-25 18:59:24 configure python3-pycriu:all 4.1.1-1 <none>
2026-02-25 18:59:24 status unpacked python3-pycriu:all 4.1.1-1
2026-02-25 18:59:24 status half-configured python3-pycriu:all 4.1.1-1
2026-02-25 18:59:24 status installed python3-pycriu:all 4.1.1-1
2026-02-25 18:59:24 configure docker.io:arm64 26.1.5+dfsg1-9+b11 <none>
2026-02-25 18:59:24 status unpacked docker.io:arm64 26.1.5+dfsg1-9+b11
2026-02-25 18:59:24 status half-configured docker.io:arm64 26.1.5+dfsg1-9+b11
2026-02-25 18:59:28 status installed docker.io:arm64 26.1.5+dfsg1-9+b11
2026-02-25 18:59:28 configure libintl-xs-perl:arm64 1.35-1 <none>
2026-02-25 18:59:28 status unpacked libintl-xs-perl:arm64 1.35-1
2026-02-25 18:59:28 status half-configured libintl-xs-perl:arm64 1.35-1
2026-02-25 18:59:28 status installed libintl-xs-perl:arm64 1.35-1
